Event,MainFaultTypeAFaultTypeB
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodFault1Good
Normal,GoodFault2Good
Normal,GoodFault3Good
Normal,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodFault1Good
Cold,GoodFault2Good
Normal,GoodFault3Good
Normal,GoodGoodGood
Normal,GoodFault1Good
Cold,GoodFault2Good
Cold,GoodFault3Good
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodFault1
Hot,GoodGoodFault2
Normal,GoodGoodFault3
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodFault1Good
Cold,GoodFault2Good
Cold,GoodFault3Good
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodFault1Good
Normal,GoodFault2Good
Cold,GoodFault3Good
Hot,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodFault1Good
Normal,GoodFault2Good
Normal,GoodFault3Fault1
Normal,GoodGoodFault2
Hot,GoodGoodFault3
Hot,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodFault1
Hot,GoodGoodFault2
Hot,GoodGoodFault3
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodFault1
Normal,GoodGoodFault2
Cold,GoodGoodFault3
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodFault1
Normal,GoodGoodFault2
Normal,GoodGoodFault3
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodFault1
Hot,GoodGoodFault2
Normal,GoodGoodFault3
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodFault1
Hot,GoodGoodFault2
Hot,GoodGoodFault3
Normal,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodFault1
Normal,GoodGoodFault2
Hot,GoodGoodFault3
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodFault1
Hot,GoodGoodFault2
Normal,GoodGoodFault3
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodFault1Good
Normal,GoodFault2Good
Cold,GoodFault3Good
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodFault1Good
Normal,GoodFault2Good
Normal,GoodFault3Good
Normal,GoodGoodGood
Normal,GoodGoodFault1
Normal,GoodGoodFault2
Normal,GoodGoodFault3
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodFault1Good
Cold,GoodFault2Good
Cold,GoodFault3Good
Cold,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodFault1Good
Cold,GoodFault2Good
Cold,GoodFault3Good
Cold,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodFault1Good
Cold,GoodFault2Good
Normal,GoodFault3Good
Cold,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Normal,GoodGoodGood
Normal,GoodGoodGood
Cold,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Hot,GoodGoodGood
Hot,GoodGoodGood
Cold,GoodGoodGood
Normal,GoodGoodGood
